service_name,description,duration,price
Classic Full Set,"One extension per natural lash for soft, everyday definition.",120,120
Hybrid Full Set,Classic and volume mixed - texture and fullness without the weight.,135,140
Volume Full Set,"Handmade fans for a fluffy, fuller, camera-ready look.",150,160
Mega Volume Full Set,"Maximum density and drama, still lightweight on the lash.",150,180
Two Week Refill,Lash refill within two weeks. The best-value way to maintain a set.,60,60
Three Week Refill,Lash refill within three weeks. A little more to rebuild.,75,75
Foreign Lash Refill,"Filling another artist's work, including tidy-up of the existing set.",90,85
Lash Removal,"Safe, gentle removal with no damage to your natural lashes.",30,25
Lash Lift,Your natural lashes curled and lifted from the root.,45,75
Lash Lift & Tint,Lifted and darkened - the most popular low-maintenance option.,60,90
Lash Tint,Darkens fair lash tips so you can skip the mascara.,20,25
Brow Shape,"Wax and tweeze, tidied and mapped to your features.",20,25
Brow Shape & Tint,Shaped and tinted for depth and definition.,30,40
Brow Lamination,"Hairs relaxed and set upward for a fuller, brushed-up brow.",45,70
Brow Lamination & Tint,Lamination with colour through the hairs.,60,85
"Brow Lamination, Tint & Shape",The full brow reset. Lasts around four to six weeks.,75,95
Brow Henna & Shape,Stains the skin as well as the hair to fill sparse areas.,45,60
Lash Lift & Tint + Brow Lamination & Tint,The full eye reset. Save $15.,120,160
Brow Shape & Tint + Lash Tint,A quick refresh before an event. Save $5.,45,60
